idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
154,tfidf,taylo,aquino,police,slain,mrs aquino,assassination,col,capital,visit,mrs,zeta,soldier policeman,soldier,people army,new people army,makati,ileto said,ileto,financial center,communist rebels
154,label,political assassination,communist rebels,philippines,col. herminio taylo,assasination attempts,rebel assassins,police chief,street violence,makati,gunmen,rebel new people's army,,,,,,,,,
155,tfidf,spill cleanup related,related developments,cleanup related developments,cleanup related,chronology exxon valdez,chronology exxon,chronology,valdez oil spill,spill cleanup,oil spill cleanup,exxon valdez oil,valdez oil,developments,exxon valdez,valdez,spill,oil spill,cleanup,exxon,oil
155,label,exxon valdez oil spill,chronology,cleanup,developments,,,,,,,,,,,,,,,,
156,tfidf,thomas,well sent,might well sent,pryor,senate,might well,sen,danforth,nomination,well,senior citizens groups,pryor said,citizens groups,chairman,senior citizens,critic,aging,commission,confirmed,simpson
156,label,clarence thomas,federal appeals judge,black officials,u.s. circuit court,nomination,columbia,senate,,,,,,,,,,,,,
157,tfidf,thomas,virginia thomas,clarence,lifespring,religious,virginia,cult,comparable worth,clarence thomas,comparable,troubled,involvement,activities,women,thomases,religious liberty,issues comparable worth,issues comparable,cult activities,conservative viewpoint
157,label,clarence thomas,virginia thomas,supportive spouse,supreme court,affirmative action,conservative viewpoint,nomination,senate confirmation hearings,criticism,,,,,,,,,,,
158,tfidf,air,air force,air base,west german police,sattler said,sattler,lenxweiler,german police,crash,crashed,aircraft,base,west german,force,said,pilot,tactical,said aircraft,fighter,german
158,label,crashes,in-flight crash,u.s. air force,f-16 fighter jets,pilots,f-16s,bodenheim,training mission,aircraft,,,,,,,,,,,
159,tfidf,slovenia,per cent,cent,per,slovene,enterprises,yugoslavia,horvath,exports,former yugoslavia,markets,goods,imports,trading,trading partners,said mr horvath,mr horvath,manufacturer,exports former yugoslavia,exports former
159,label,slovene enterprises,slovene officials,capital inflows,slovenia,former yugoslavia,slovene exports,independence,foreign investment,trade links,european community countries,,,,,,,,,,
160,tfidf,tokai,earthquake,prediction,japan,tokai region,prediction research,precursors,earthquakes,research,tokyo,fault,quake,trough,mogi,region,section,monitoring,phenomena,earthquake prediction,scientists
160,label,japan,coastal tokai region,seismic activity,imminent earthquake,richter scale,general earthquake prediction research,tokai earthquake,earthquake warning,,,,,,,,,,,,
161,tfidf,exxon,oil,iarossi,exxon valdez,valdez,ship,iarossi said,coast guard,guard,tanker,0,birds,coast,sound,nelson,grounding,cleanup,said,otters,nelson said
161,label,oil spill,exxon valdez spill,unqualified mate,exxon shipping co.,long beach-bound tanker,oil contamination,pilot,investigation,environmental conservation,coast guard regulations,separate accidents,cleanup efforts,federal disaster,,,,,,,
162,tfidf,dollars,damage,uninsured,florida,louisiana,lloyd,insurers,hurricane,yesterday,florida monday,across,storm,severe damage,orleans,new orleans,devastated,miles,losses,landfall,minimal
162,label,hurricane andrew,louisiana,severe damage,new orleans,tropical storm,uninsured losses,landfall,,,,,,,,,,,,,
163,tfidf,davies hale,davies,race,hale,weidenbach,brien,marathon,pack,heat,runners,women,second,miles,30,running,chicago,men,0,lead,year race
163,label,chicago marathon,windy weather,distance runners,patient,steady runners,second-hottest race,race conditions,,,,,,,,,,,,,
164,tfidf,court,thomas,abortion,box,nomination,marshall,affirmative action,affirmative,supreme court,supreme,views,confirmation,senate,unknown,rights,action,appeals,cautious,monday,souter
164,label,clarence thomas,second black,supreme court,thurgood marshall,nomination,affirmative action,racial preferences,,,,,,,,,,,,,
165,tfidf,shining path,shining,mr,fujimori,path,mr garcia,mr fujimori,garcia,peru,insurgency,approach,actions,first,war,loayza,human rights,armed forces,internal,soto,security matters
165,label,shining path,alberto fujimori,peru,next president,democratic legality,emergency laws,armed forces,president garcia,,,,,,,,,,,,
166,tfidf,hurricane,sheets,said sheets,gilbert,major hurricane,interviews,category,dealing,jorge,director,major,winds,landfall,color,monitor,destructive,mississippi,said,inches,tropical
166,label,destructive hurricane gilbert,national hurricane center,bob sheets,atlantic hurricane season,western caribbean,hurricane headquarters,catastrophic damage,,,,,,,,,,,,,
167,tfidf,barnes,officers,police,officer,apartment,bishop,shooting,said barnes,mills said,mills,bishop said,shot,said,man,entered,shooting death,prowler,officer shot,fountaine,draw line
167,label,police force,brutality,racism,accidental shooting death,excessive force,terry barnes,black citizens,,,,,,,,,,,,,
168,tfidf,jwaneng,finsch,pit,mine,underground,open pit,diamond,metres,diamonds,carats,botswana,mining,tonnes,underground development,de beers,beers,depth,started,mined,open
168,label,jwaneng mine,south african group,diamond output,world diamond production,central selling organisation,diamond mines,underground mine,russian exports,botswana,wholly-owned finsch mine,de beers,,,,,,,,,
169,tfidf,tb,aids,tuberculosis,snider,disease,snider said,virus,disease control,centers disease control,centers disease,health,cases,lung,hopewell,said,percent,reichman,centers,tb cases,control
169,label,new health threats,aids virus,tuberculosis,disease control,lung disease,tb cases,,,,,,,,,,,,,,
170,tfidf,thomas,black,clarence,yale,school,court,sowell,discrimination,rights,grandfather,law,civil rights,seminary,clarence thomas,conservative,supreme court,supreme,law school,reagan,danforth
170,label,clarence thomas,hard-eyed grandfather,supreme court nominees,senate confirmation,affirmative action programs,thomas sowell,u.s. court,black conservative,,,,,,,,,,,,
171,tfidf,diabetes,mcnamara said,mcnamara,hispanics,diabetes mcnamara said,diabetes mcnamara,st louise,manage diabetes,louise,diabetes society,programs,manage,diet,spanish,exercise,percent,society,said,st,years ago reaching
171,label,diabetes society,high-fat diet,hispanics,diabetes management program,exercise,contracting diabetes,,,,,,,,,,,,,,
172,tfidf,eclipse,sun,hawaii,box,baja,island,mexico,tourists,californians,watch,moon,welders,new age,light show,thousands tourists,pinhole,scores,july 11,thousands,longest
172,label,total eclipse,sun,hawaii,mexico,eclipse fans,eye damage,visitors,tourism,,,,,,,,,,,,
173,tfidf,de beers,beers,diamond,trading,de,office fair trading,office fair,fair trading,organization,consolidated,london,south africa,minorco,consolidated gold,fair,selling organization,central selling organization,selling,gold,complaint
173,label,de beers diamond organization,fair trading,anti-competitive practices,london-based diamond cartel,south africa,world diamond trading,defensive move,luxembourg-based minorco sa,central selling organization,investigation,,,,,,,,,,
174,tfidf,johnson,steroids,lewis,substance,levine,athletes,steroids controlled substance,steroids controlled,controlled substance,anabolic steroids controlled,abuse steroids,high school,clean lewis,legislation,reporters,lewis said,distribution,anabolic steroids,anabolic,carl lewis
174,label,ben johnson,world-class sprinter,seoul,gold medal,canadian,anabolic steroids,controlled substance,,,,,,,,,,,,,
175,tfidf,diamond,diamonds,de beers,beers,dealers,de,billion,sales,carat,prices,market,zucker,diamond dealers,million,japanese,raise,rough,similar period,quotes,lamont
175,label,de beers consolidated mines ltd.,diamond prices,south african concern,world diamond market,london-based central selling organization,diamond price increase,diamond dealers,diamond jewelry market,world diamond production,diamond sales,,,,,,,,,,
176,tfidf,maff,cattle,bse,disease,feed,ministry,ban,feed ban,scientists,cow,animals,farming industry,sheep,cattle died,farmers,cjd,agriculture,farming,possibility,last week
176,label,mad cow disease,bse case,maternal transmission,diseased sheep,disease scrapie,british agriculture,british beef imports,infected feed,,,,,,,,,,,,
177,tfidf,enquirer,articles,miss taylor,taylor,miss,papiano,good faith,error,faith,reporting,offering,published,medical,condition,vindicated newspaper management,vindicated newspaper,vindicated,two articles published,two articles,trial previously reported
177,label,miss taylor,actress,lawsuit,enquirer,st. john's hospital,pneumonia,medical condition,,,,,,,,,,,,,
178,tfidf,carats,river ranch,ranch,river,de beers,beers,baxter brown,baxter,000 carats,diamond,zimbabwe,diamonds,mr baxter brown,mr baxter,de,mine,0,dollars,brown,carat
178,label,diamond business,diamond mines,zimbabwe government,diamond exploration experience,joint venturers,exclusive exploration rights,central selling organisation,diamond trade,diamond deposit,river ranch,south african group,,,,,,,,,
179,tfidf,tornadoes,ostby,ostby said,tornado,storms,tornadoes since,flooding,kansas,deaths,tornadoes touched,tornadoes recorded,year,year average,upper atmosphere,jet stream,forecast center,said,first six months,first six,stream
179,label,tornadoes,tornado trends,flooding,storms,damage,deaths,study,,,,,,,,,,,,,
180,tfidf,eclipse,sun,california sur,baja california sur,sur,mexico,july 11,baja california,astronomers,tourism,baja,moon,eclipse path,eclipse century,along eclipse,400 times,path,commission,total solar eclipse,hotels
180,label,total solar eclipse,partial eclipse,slar eclipse,moon,eclipse path,mexico,tourists,,,,,,,,,,,,,
181,tfidf,welfare,reform,welfare reform,president,governors,poverty,welfare lobby,programs,lobby,democrats,congress,public wants,spending,state union,reform president,president governors,poverty programs,interests,last january,dependency
181,label,welfare reform,president reagan,federal government,americans,welfare programs,welfare dependency,,,,,,,,,,,,,,
182,tfidf,incumbents,voters,61,terms,house,incumbent,limitation,63,term,mail,limiting,limit,congress,senator,pressler,limiting terms,finance laws combined,finance laws,campaign finance laws,61 31
182,label,term limitation,limit congressional terms,house incumbents,opinion polls,congressional careerism,constitutional amendment,legislative arrogance,unfair advantage,unfair campaign finance laws,voluntary service limitation,,,,,,,,,,
183,tfidf,gun,nra,gun control,brady,brady bill,guns,bill,control,criminals,weapons,self defence,favour,republican,assault weapons,tough,mr,defence,crime,firearms,gun owners
183,label,gun control law,brady bill,complete ban,us congress,gun purchase,restriction,gun ownership,,,,,,,,,,,,,
184,tfidf,look forest fire,look forest,forest fire developments,fire developments western,fire developments,developments western states,developments western,brief look forest,brief look,developments,brief,western states,forest fire,forest,look,western,fire,states,,
184,label,forest fire developments,western states,firefighters,,,,,,,,,,,,,,,,,
185,tfidf,browning,mr browning,earthquake,quake,says,mr browning says,browning says,fault,mr,survival,ark,dec,memphis,prediction,earthquakes,new madrid,madrid,blytheville,mississippi,missouri
185,label,new madrid fault,earthquake survival classes,quake insurance,prediction methods,earthquake expert,earthquake preparedness,national earthquake prediction evaluation cuncil,federal emergency help,,,,,,,,,,,,
186,tfidf,yellowstone,park,fires,fire,blazes,barbee,parks,lodgepole,canopy,lodgepole pines,forest,stage,natural,burn,pines,park service,years stage,originating,lujan,fires originating
186,label,yellowstone park fires,yellowstone national park reforestation,natural fires,human-caused fires,lightning fire,firefighting crews,destructive blazes,firefighting efforts,lodgepole pines,fire ecology,,,,,,,,,,
187,tfidf,gates,mr gates,police,mr,police corps,corps,king,chief,brutality,policing,police mr gates,police mr,opposed police corps,opposed police,officers,gang,rodney king,chiefs,rodney,beating
187,label,police brutality,rodney king incident,excessive force,lapd brutality,los angeles,,,,,,,,,,,,,,,
188,tfidf,tb,tuberculosis,cdc,cases,percent,percent among,aids,cdc said,whites,cases reported,hispanics,patients,tuberculosis cases reported,average annual,infected,among blacks,among,compared,blacks,reported
188,label,steady decline,tuberculosis cases,aids cases,disease control,complete statistics,,,,,,,,,,,,,,,
189,tfidf,slovenia,slovene,yugoslavia,relations,yugoslav,belgrade,toward,attitude,toward yugoslavia,diplomatic,foreign affairs,slovene attitude,normalization relations,normalization,fry,attitude toward,peterle,diplomats,statements,affairs
189,label,yugoslav diplomats,federal republic,slovene government,slovene politicians,possible political contacts,anti-serbian campaign,slovene independence,normalization,official slovene delegation,official belgrade,slovene attitude,,,,,,,,,
190,tfidf,sacher,fire,million acres,sacher said,dry,acres,fire season,range land,forest range land,forest range,dry weather,last year,season,western,year,weather,million,said monday,idaho,lightning
190,label,western wildfires,record-breaking fire season,contiguous united states,firefighters,blazes,fire danger,dry weather,,,,,,,,,,,,,
191,tfidf,pizarro,candidate,presidential,colombia,lopez,presidential candidate,trujillo,lopez trujillo,friday,medellin,police,assassination,bogota,thursday,party,leftist,traffickers,church,cartel,radio
191,label,assassinations,drug traffickers,medellin drug cartel,presidential candidate carlos pizarro,terrorist acts,cocaine cartels,colombia,election,pizarro's assassination,,,,,,,,,,,
192,tfidf,police,laux,officers,raid,minneapolis,said,said laux,laux said,hayden,glover,drug raid,hotel,police misconduct,city,misconduct,image,panel,department,scuffle police,scuffle
192,label,police racism,brutality,civil rights,racial harmony,drug raid,police misconduct,,,,,,,,,,,,,,
193,tfidf,smallwood,forest,smallwood said,arson,fires,forest service,twain,mark twain,fire,shea,mcdonald,service,tradition,said,timber,arsonist,woods,mark,forest fires,burned
193,label,forest fires,criminal investigator,investigations,passing truck,missouri,arsonist,arson problem,,,,,,,,,,,,,
194,tfidf,term limits,limits,term,says,democratic,term limit,democrats,party,democratic party,incumbency,favor term limits,favor term,limit,term limits would,politics,limits would,incumbents,liberal,congress,favor
194,label,term limits,term limit measure,political system,california initiative,career incumbents,liberal democrats,american politics,special u.s. house election,democratic officeholders,,,,,,,,,,,
195,tfidf,diamond,diamonds,de beers,beers,cso,de,angola,market,gem,cartel,dollars,rough,demand,per cent,cent,gem diamonds,per,diamond market,angolan,production
195,label,world diamond business,rough diamond production,diamond market,diamond sales,london-based central selling organisation,diamond prices,diamond cartel,canada,greedy rush,first diamond mine,diamond hunters,,,,,,,,,
196,tfidf,term limits,court,limits,term,ballot,candidate,incumbents,candidates,limit,supreme court,supreme,incumbent,ballot access,state,decision,restrictions,access,party,term limit,constitution
196,label,term limits,term limitations,congressional officeholders,u.s. house members,new term-limit law,fair election system,house incumbents,congressional regulation,constitution,supreme court,,,,,,,,,,
197,tfidf,hispanic,diabetes,classes,torres,diabetics,nutrition,nutrition exercise,hispanic diabetics families,hispanic diabetics,diabetics families,society,diabetes society,geared,food,prepare,traditional,exercise,health,families,offered
197,label,hispanic diabetics,diabetes society,hispanic lifestyle,hispanic diet,health professionals,good nutrition,education director,,,,,,,,,,,,,
198,tfidf,issajenko,ms issajenko,johnson,steroids,ms,astaphan,quoted saying,quoted,saying,therapist,olympics,ben,jamie,francis,knowledge,retracted,metre,matuszewski,later retracted,issajenko quoted saying
198,label,ben johnson,canadian olympic sprinter,angella issajenko,olympic gold medal,steroid stanozolol,illegal drugs,100-metre sprint,,,,,,,,,,,,,
199,tfidf,johnson,meet,sport,indoor,ben,franken,athlete,ben johnson,paid,track,drugs,athletes,records,know,interest,track field,schmertz,meet directors,meet director,lumpp
199,label,ben johnson,anabolic steroids,seoul olympics,suspension,performance-enhancing drugs,world record-holder,expectation,news conference,drug tests,hamilton spectator indoor games,,,,,,,,,,
200,tfidf,beef,british,british beef,disease,cow,bse,mad cow,british officials,cattle,mad,germany,britain,meat,import,eating,cows,west germany,mad cow disease,cow disease,sales
200,label,mad cow disease,trade friction,bovine spongiform encephalopathy,bse-infected cows,germany import ban,british beef imports,health fears,,,,,,,,,,,,,
201,tfidf,shining path,shining,peace,path,fujimori,october 1993,october,guzman,republica,la republica,peace talks,1993,document,talks,call peace,la,referendum,imprisoned,note,letters
201,label,imprisoned shining path leader abimael guzman,genuine shining path statement,peace proposal,peace agreement,peace talks,political defeat,government representatives,anti-fujimori daily,shining path peace strategy document,,,,,,,,,,,
202,tfidf,slovenia,slovenian,croatia,army,yugoslavia,mesic,federal,slovenia croatia,croatian,republic,territorial,cease fire,cease,yugoslav,capital,independence,federal army,kucan,serbia,republics
202,label,slovenian fears,federal troops,breakaway republics,slovenian defense forces,yugoslav army,slovenian independence,federal army operations,independence declarations,western-brokered cease-fire,croatia,slovenia,serbia,yugoslav republic,,,,,,,
203,tfidf,slovenia,serbia,serbian,slovenian,rally,yugoslavia,communist,oust,yugoslav,us yugoslavia,oust us yugoslavia,oust us,called serbia,friday,communist leadership,banning,yugoslav federation,leadership,republic slovenia,federal state
203,label,slovenian presidency,economic contacts,serbian action,yugoslav federation,pro-serbian rally,economic boycott,hard-line communist leadership,regional autonomy,slovenian serbian conflict,,,,,,,,,,,
204,tfidf,johnson,ben,charest,drugs,canada,medal,olympic,steroids,said,sprinter,using steroids,national hero,calgary,boucher,tested,charest said,ben ben,gold,outraged,canadians
204,label,ben johnson,canadians,olympic gold medal,sprinter,anabolic steroids,drug scandal,disappointed nation,american carl lewis,,,,,,,,,,,,
205,tfidf,exxon,valdez,oil,spill,ship,vessel,said,otters,alaska,boom,exxon valdez,crude,port,exploration,surrender,hazelwood,million,million gallons,captain,towed
205,label,worst-ever oil spill,exxon crews,crude oil,tanker exxon valdez,oil-catching boom,joseph hazelwood,annual herring industry,criminal charges,,,,,,,,,,,,
206,tfidf,slovenia,debt,nby,bank,federal debt,bn,unallocated,slovene,foreign exchange,dollars,dollars bn,negotiations,unallocated federal debt,unallocated federal,kranjec,deposited,bank slovenia,central bank,foreign,exchange
206,label,national bank of yugoslavia,foreign creditors,independence,foreign exchange deposits,slovene banks,slovene citizens,federal government,yugoslavia,slovene banks,unallocated federal debt,negotiations,,,,,,,,,
207,tfidf,police,suspect,brutality,macnamara,complaints,officer,police brutality,public,citizens,code,investigations,san jose,jose,police discipline system,police discipline,offending officer,monitoring police brutality,monitoring police,local communities,four citizens
207,label,police brutality,police misconduct,police abuse,injuries,brutality complaints,santa clara,,,,,,,,,,,,,,
208,tfidf,colosio,assassination,mexican,candidate,mar 94,gmt 24 mar,gmt 24,gmt,colosio assassination,24 mar 94,24 mar,94,mar,mexican government people,government people,mexican government,presidential,presidential candidate,spanish,party
208,label,presidential candidate luis donaldo colosio,mexican government,sympathy,reactions,colombian government,pri,assassination,mexican president carlos salinas,antidemocratic forces,,,,,,,,,,,
209,tfidf,nra,gun,deconcini,assault,hammer,assault weapons,guns,weapons,semiautomatic,bill,ban,gun control,baker,rifles,firearms,control,arizona,gun owners,banning,owners
209,label,gun ban,gun control,constitutional right,gun-control bills,gun-control measures,firearms,deconcini,gun lobby,nra,,,,,,,,,,,
210,tfidf,forest,fire,bluedorn said,bluedorn,firefighters,acres,monday,national forest,blaze,rain,damron,said,hiawatha,crews,park,national,firefighters brought,afternoon,vanderbilt said,vanderbilt
210,label,forest fire,steady rain,wyoming,illegal fireworks,firefighters,wildfires,blaze,,,,,,,,,,,,,
211,tfidf,mr thomas,thomas,mr,law,judge,circuit,man,clarence,grandfather,ideals,rights,life,school,american,bork,civil rights,civil,eeoc,constitution,people
211,label,clarence thomas,mr. Thomas,supreme court nominee,minorities,judge,columbia circuit,judicial conservatism,,,,,,,,,,,,,
212,tfidf,de beers,beers,diamond,de,diamonds,dealers,cartel,sales,says,dealer,african,million,market,jewelry,zaire,prices,world,mines,syndicate,dealers say
212,label,uncut-diamond market,rough-diamond prices,diamond producers,diamond trade,world diamond markets,promotion campaign,world diamond production,de beers consolidated mines ltd.,south african concern,diamond jewelry,de beers campaign,,,,,,,,,
213,tfidf,coca,guerrillas,anti drug,army,drug,upper huallaga,huallaga,shining path,shining,farmers,path,aucayacu,upper,anti,valley,rebels,umopar,drug police,corah,anti drug police
213,label,shining path,coca farmers,upper huallaga valley,guerrillas,peruvian anti-drug campaign,emergency control,coca growers,drug trafficking,anti-drug police,,,,,,,,,,,
214,tfidf,oil,spill,valdez,said,tanker,exxon,sound,coast guard,saturday,guard,alaska,kelso,gallons,spilled,golob,vessel,exxon valdez,gallons oil,coast,mccall
214,label,u.s. tanker spill,987-foot tanker exxon valdez,oil spill,major environmental catastrophe,cleanup equipment,crude oil,cleanup efforts,alaska,,,,,,,,,,,,
215,tfidf,tuberculosis,tb,bacteria,aids,hiv,tuberculosis bacteria,infected,aids virus,study,virus,people,drug,tb bacteria,doctors,risk,medicine,virus tuberculosis bacteria,virus tuberculosis,study conducted,study began
215,label,aids virus,drug abusers,tuberculosis bacteria,medicine,drug addicts,tuberculosis infections,,,,,,,,,,,,,,
216,tfidf,diamond,de beers,beers,de,diamonds,organization,percent,oppenheimer,value,sales,producer,cartel,year,south africa,mines,rough,gems,market,world,consolidated
216,label,de beers diamond empire,central selling organization,diamond business,world diamond industry,south african interests,diamond producer,rough diamond sales,,,,,,,,,,,,,
217,tfidf,aliens,census,illegal aliens,illegal,counting,rep,ridge,representation,census bureau,states,bills,citizens,bureau,dymally,counting aliens,seats,constitution,seats house,purposes,house
217,label,illegal aliens,lawmakers,census bureau,house seats,u.s. constitution,representatives,,,,,,,,,,,,,,
218,tfidf,tunnel,rail,link,speed,high speed,rail link,london,consortium,speed rail,high speed rail,billion,high,speed rail link,speed link,miles hour,high speed link,morton,says,traffic,eurotunnel
218,label,cross-channel link,high-speed rail link,total benefits,single market,channel tunnel,added cost,fast rail service,refusal,,,,,,,,,,,,
219,tfidf,poverty,bank,poverty reduction,reduction,directive,preston,developing countries,commitment,countries,warrants,says poverty,reduction warrants,poverty reduction warrants,fight poverty,commitment poverty reduction,commitment poverty,policies,developing,mr preston,bank also
219,label,third world,world bank,loan volume,poverty relief,poverty alleviation,poverty assessments,bank policies,poverty reduction objectives,,,,,,,,,,,,
220,tfidf,census,illegal,aliens,illegal aliens,senate,seats,bureau,states,count,census bureau,commerce,house,said,senate house conference,house conference,darby,cochran,census unfair,bush veto,bureau spokesman
220,label,illegal aliens,1990 population count,illegal immigrants,congressional seats,house seats,census bureau,voice vote,prohibition,federal aid,appropriations bill,,,,,,,,,,
221,tfidf,fire,forest,fires,acres,fireworks,national forest,park,said,blaze,tuesday,wilderness,weekend,spread,firefighters,national,exhaust,sparked,rain,ranger,burned
221,label,lightning-sparked fire,utah,zion national park,firefighters,forest fire,fire lines,brush fires,,,,,,,,,,,,,
222,tfidf,exxon,oil,boycott,spill,yost,said,alaska,valdez,cleanup,saw,environmental,lamoreaux,exxon plan,miles,gas prices,company,said exxon,gas,southwest,birds
222,label,alaskan oil spill,boycott exxon,oil company,cleanup strategy,significant environmental disaster,oil industry,fishing industry,tanker exxon valdez,exxon valdez accident,exxon's plan,gas prices,,,,,,,,,
223,tfidf,slovenia,republics,yugoslav,serbia,tanjug,yugoslavia,yugoslav federation,republic,confederation,slovenian,constitution,federation,tanjug said,sovereign state,new constitution,sovereign,kucan,federal,presidency,politically
223,label,full sovereignty,new yugoslav confederation,slovenian presidency,separatist tendencies,federal goals,yugoslav federation,federal control,milan kucan,serbia,,,,,,,,,,,
224,tfidf,diabetes,hispanics,hispanic,pierluissi,defronzo,researchers believe,diets,san antonio,stern,150 000,antonio,americans,researchers,test,studies,dr,150,texas,40,family
224,label,diabetes test,minorities,american diabetes association,diabetes studies,hispanic diabetes,diabetic patients,healthy diets,,,,,,,,,,,,,
225,tfidf,hurricane,storm,chantal,vessel,louisiana,tex,coast,tropical storm,winds,texas,service vessel,capsized,coast guard,afternoon,tropical,warnings issued,morgan city,june tropical storm,coast hurricane,texas louisiana
225,label,hurricane chantal,oil drilling work vessel,crew members,rescue divers,hurricane warnings,coastal residents,hurricane staples,hurricane season,coast guard,,,,,,,,,,,
226,tfidf,flanders,belgium,west flanders,veurne,tunnel,ports,region,belgian,commerce,chamber commerce,channel tunnel,mr,development,chamber,calais,says,west,veurne chamber commerce,veurne chamber,claerhout
226,label,official opening,channel tunnel,belgium,western flanders,chunnel,rapid increases,holidaymakers,freight carriers,traffic loads,european metropolitan area,development,,,,,,,,,
227,tfidf,third world,countries,industrialized,nations,debt,foreign,world,third,industrialized nations,brazil,ghana,foreign debt,billion foreign,developing,help third world,help third,developed countries,argentina,developed,minister
227,label,third world countries,brazil,industrialized nations,foreign loans,42nd general assembly,international economic relations,debt restructuring,foreign debt,,,,,,,,,,,,
228,tfidf,johnson,lewis,record,championships,joyner,johnson allowed,world,world record,athletes,tac,records,iaaf,carl lewis,carl,sport,said lewis,said johnson allowed,greenberg,cassell,said
228,label,ben johnson,world record,100-meter dash,carl lewis,steroid use,canadian inquiry,illegal performance-enhancing drugs,world championships,,,,,,,,,,,,
229,tfidf,brush,fire,rowley,rainfall,map,fire officials,season,trees,rowley said,fungus,beetles,los,southern california,drought,county fire department,chaparral,bark,30 feet,inches,los angeles
229,label,wildfire seasons,southern california neighborhoods,fire officials,vulnerable fire zones,fire prevention regulations,wildfire danger,high fire hazards,fuel source,vulnerable foothills,prolonged drought,rainfall season,,,,,,,,,
230,tfidf,marathon,samuelson,mekonnen,kristiansen,ethiopia,race,ikangaa,beaten,runners,world,olympic,boston,pace,ethiopians,miles,ethiopian,11 miles,run,finished,first
230,label,marathon runners,abebe bikila,dominant group,ethiopia,african runners,consecutive olympic gold medals,ingrid kristiansen,race,,,,,,,,,,,,
231,tfidf,park,yellowstone,despain,fire,mr despain,forest,trees,fires,seeds,forest floor,mr,burnt,ash,floor,meadows,varley,lodgepole,natural,species,year
231,label,worst fire,firestorm,ash-covered forest floor,scorched hillside,fire damage,rebirth,tiny seeds,,,,,,,,,,,,,
232,tfidf,tuberculosis,aids,bloom,immune,cases,immune system,epidemic,tuberculosis united states,tuberculosis united,bloom said,aids epidemic,organism,disease,active,infectious,individuals,public health officials,carry organism,infected,rise
232,label,deadliest infectious disease,world health organization,global tuberculosis,tuberculosis cases,aids epidemic,human immunodeficiency virus,parallel epidemic,,,,,,,,,,,,,
233,tfidf,tunnel,french,linkup,british,tunnels,chunnel,drilling,transmanche,channel,two,construction,workers,boring machines,britain,machines,boring,europe,side,tunnel finished,transmanche officials
233,label,31-mile undersea rail tunnel,britain,france,english channel,chunnel,historic linkup,channel tunnel project,traffic congestion,continental europe,cost overruns,transmanche link,,,,,,,,,
234,tfidf,thomas,mr thomas,nuns,love,judge thomas,mr,affirmative action,affirmative,loved,appointment,judge,left,race,demonstrate,senators,use mr thomas,use mr,thomas made,thomas appointment,senators left
234,label,clarence thomas,affirmative action,conservative black,judge thomas,thomas hearings,triumph,conservative jurists,,,,,,,,,,,,,
235,tfidf,plo,arafat,assassination,attacks,wazir,abu jihad,document,jihad,abu,plo officials,united states,united,state department,facilities,states,yasser arafat,yasser,terrorist attacks,state department spokesman,plo attacks
235,label,political assassination,plo leader yasser arafat,united states,plo officials,palestinian guerrillas,american targets,khalil wazir,israeli officials,accusations,possible plo attacks,terrorist attacks,israeli squad,,,,,,,,
236,tfidf,aliens,county,illegal aliens,census,illegal,supervisors,residents,federal revenue,county residents,city officials,count,revenue,exclude,agency,orange county,thursday,resolution,senate,orange,officials
236,label,illegal aliens,1990 census,complete count,federal revenue,u.s. senate,census bureau,orange county residents,representatives,,,,,,,,,,,,
237,tfidf,johnson,ben,olympic,canadian,lewis,drugs,canada,said,steroids,moment,state shock,member ioc,ioc,complete state shock,complete state,canadian member ioc,canadian member,called stanozolol,airport,said sprinter
237,label,canadian ben johnson,olympics,american carl lewis,illegal anabolic steroid,drug use,gold medal,sprinter,100-meter dash,,,,,,,,,,,,
238,tfidf,slovenia,military,slovenian,military council,statement,police,said,communist,subversive,special warfare,slovenia communist party,slovenia communist,mladina,ministry statement,military command,military action,met march,ljubljana military command,ljubljana military,warfare
238,label,federal military commanders,yugoslavia,dissident tendencies,foreign-backed conspiracy,communist government,political dissidents,slovenian communists,slovenia police,ministry statement,,,,,,,,,,,
239,tfidf,tornado,madison,peavy,homes,peavy said,county,madison county,mobile homes,georgia,said,mobile,said tornado,reported,injured,damaged,trees,roof,sheriff,blown,town
239,label,tornado,destruction,thunderstorms,tornado watches,deaths,madison,,,,,,,,,,,,,,
240,tfidf,nafta,virginia,congressmen,says,congressman,mr,district,undecided,slaves,pro nafta,perot,undermines,sisisky,says might,pickett,foreign policy,beckwith,says mr,pro,undecided congressmen
240,label,north american free trade agreement,demonstrators,judicial system,anti-nafta forces,foreign policy implications,pro-nafta lobbying effort,pro-nafta congressmen,opposition organiser,president bill clinton,passionate opposition,virginia,,,,,,,,,
241,tfidf,limits,term limits,term,limits would,term limits would,convention,florida,york convention ratify,york convention,years forged 1850,years forged,would unseated daniel,would unseated,would cost us,wetherel speaker florida,wetherel speaker,wetherel,webster henry clay,webster henry,webster
241,label,term limits,term limitations,constitutional convention,subsequent term-limit proposals,frequent re-elections,first congress,natural rights,,,,,,,,,,,,,
242,tfidf,chong,paek,prosecution,joint,pak,prosecutor,assassination,kim,sung hwa,sung,military prosecution,martial law commander,martial law,law commander,hwa,hui,chong sung hwa,chong sung,1979,evidence
